esteira_id,id,v_rolo,v_esteira,data,hora
1,1,12.91,10.7,2022-05-17,20:43:44
1,2,9.07,20.04,2022-05-17,20:44:44
1,3,3.45,16.07,2022-05-17,20:45:44
1,4,9.36,7.69,2022-05-17,20:46:44
1,5,1.78,10.25,2022-05-17,20:47:44
1,6,2.01,2.04,2022-05-17,20:48:44
1,7,14.15,19.09,2022-05-17,20:49:44
1,8,9.29,8.03,2022-05-17,20:50:44
1,9,7.91,7.42,2022-05-17,20:51:44
1,10,15.92,10.65,2022-05-17,20:52:44
1,11,18.15,3.45,2022-05-17,20:53:44
1,12,3.58,16.18,2022-05-17,20:54:44
1,13,8.68,11.35,2022-05-17,20:55:44
1,14,12.65,9.99,2022-05-17,20:56:44
1,15,16.02,1.84,2022-05-17,20:57:44
1,16,9.02,12.3,2022-05-17,20:58:44
1,17,8.8,3.27,2022-05-17,20:59:44
1,18,3.26,20.55,2022-05-17,21:00:44
1,19,19.86,7.03,2022-05-17,21:01:44
1,20,14.07,15.23,2022-05-17,21:02:44
1,21,16.92,12.9,2022-05-17,21:03:44
1,22,13.37,18.47,2022-05-17,21:04:44
1,23,3.71,7.64,2022-05-17,21:05:44
1,24,19.38,9.12,2022-05-17,21:06:44
1,25,19.55,8.31,2022-05-17,21:07:44
1,26,19.4,10.02,2022-05-17,21:08:44
1,27,2.65,11.26,2022-05-17,21:09:44
1,28,10.33,20.16,2022-05-17,21:10:44
1,29,8.68,13.82,2022-05-17,21:11:44
1,30,18.95,3.8,2022-05-17,21:12:44
1,31,14.39,4.55,2022-05-17,21:13:44
1,32,15.91,1.49,2022-05-17,21:14:44
1,33,9.88,6.41,2022-05-17,21:15:44
1,34,16.63,10.24,2022-05-17,21:16:44
1,35,19.92,20.67,2022-05-17,21:17:44
1,36,14.39,14.04,2022-05-17,21:18:44
1,37,20.82,5.27,2022-05-17,21:19:44
1,38,19.42,14.98,2022-05-17,21:20:44
1,39,10.18,7.99,2022-05-17,21:21:44
1,40,18.48,19.71,2022-05-17,21:22:44
1,41,17.78,19.5,2022-05-17,21:23:44
1,42,10.51,10.6,2022-05-17,21:24:44
1,43,10.64,20.23,2022-05-17,21:25:44
1,44,20.98,13.08,2022-05-17,21:26:44
1,45,12.26,10.04,2022-05-17,21:27:44
1,46,17.46,4.62,2022-05-17,21:28:44
1,47,8.78,15.67,2022-05-17,21:29:44
1,48,8.63,1.0,2022-05-17,21:30:44
1,49,20.44,19.32,2022-05-17,21:31:44
1,50,1.94,7.83,2022-05-17,21:32:44
1,51,12.06,16.49,2022-05-17,21:33:44
1,52,19.4,4.48,2022-05-17,21:34:44
1,53,1.26,6.11,2022-05-17,21:35:44
1,54,16.68,5.92,2022-05-17,21:36:44
1,55,6.1,12.01,2022-05-17,21:37:44
1,56,20.83,1.25,2022-05-17,21:38:44
1,57,14.18,6.89,2022-05-17,21:39:44
1,58,8.0,15.89,2022-05-17,21:40:44
1,59,13.73,20.76,2022-05-17,21:41:44
1,60,3.68,10.69,2022-05-17,21:42:44
1,61,18.43,10.17,2022-05-17,21:43:44
1,62,17.35,11.5,2022-05-17,21:44:44
1,63,6.11,18.31,2022-05-17,21:45:44
1,64,12.89,19.07,2022-05-17,21:46:44
1,65,9.57,7.86,2022-05-17,21:47:44
1,66,17.85,9.58,2022-05-17,21:48:44
1,67,12.78,10.55,2022-05-17,21:49:44
1,68,13.72,12.63,2022-05-17,21:50:44
1,69,20.39,8.77,2022-05-17,21:51:44
1,70,7.53,17.22,2022-05-17,21:52:44
1,71,18.5,15.61,2022-05-17,21:53:44
1,72,20.38,16.15,2022-05-17,21:54:44
1,73,5.43,6.77,2022-05-17,21:55:44
1,74,3.02,2.13,2022-05-17,21:56:44
1,75,2.37,7.04,2022-05-17,21:57:44
1,76,4.04,13.91,2022-05-17,21:58:44
1,77,12.24,18.98,2022-05-17,21:59:44
1,78,15.37,13.8,2022-05-17,22:00:44
1,79,12.48,18.19,2022-05-17,22:01:44
1,80,7.74,10.39,2022-05-17,22:02:44
1,81,2.16,10.17,2022-05-17,22:03:44
1,82,9.04,8.3,2022-05-17,22:04:44
1,83,20.95,4.65,2022-05-17,22:05:44
1,84,16.57,11.47,2022-05-17,22:06:44
1,85,14.37,7.23,2022-05-17,22:07:44
1,86,7.0,15.45,2022-05-17,22:08:44
1,87,11.89,10.75,2022-05-17,22:09:44
1,88,19.8,19.03,2022-05-17,22:10:44
1,89,10.39,2.62,2022-05-17,22:11:44
1,90,1.81,15.16,2022-05-17,22:12:44
1,91,13.94,16.79,2022-05-17,22:13:44
1,92,3.48,13.81,2022-05-17,22:14:44
1,93,12.51,17.81,2022-05-17,22:15:44
2,94,15.98,2.65,2022-05-17,11:34:58
2,95,1.26,19.47,2022-05-17,11:35:58
